Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature,Liters of pure alcohol
Vietnam,East and Southeast Asia,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,"104,799,174",17.0,111.0,35.7,24.73,3.41
Paraguay,South America,5.738,9.51,0.906,65.9,0.891,0.021,0.843,"7,439,863",117.0,121.0,43.5,23.86,5.47
Montenegro,Europe,5.722,9.813,0.89,67.1,0.805,0.063,0.844,"602,445",198.0,54.0,36.8,11.0,9.91
Jamaica,Central America and the Caribbean,5.703,9.165,0.867,66.6,0.822,-0.106,0.875,"2,820,982",89.0,129.0,35.0,26.02,3.46
Bolivia,South America,5.684,8.985,0.811,63.599,0.868,-0.063,0.846,"12,186,079",52.0,161.0,43.6,20.68,2.98
Russia,Central Asia,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,"141,698,923",57.0,48.0,36.0,-2.87,7.29
Bosnia and Herzegovina,Europe,5.633,9.616,0.88,67.275,0.746,0.206,0.918,"3,807,764",169.0,28.0,33.0,11.57,5.46
Colombia,South America,5.63,9.584,0.822,69.35,0.804,-0.104,0.834,"49,336,454",166.0,112.0,54.2,24.71,4.09
Dominican Republic,Central America and the Caribbean,5.569,9.811,0.827,64.399,0.85,-0.099,0.657,"10,790,744",111.0,144.0,39.6,24.57,5.56
Ecuador,South America,5.559,9.27,0.806,69.0,0.802,-0.108,0.833,"17,483,326",58.0,151.0,47.3,21.07,3.05
Peru,South America,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,"32,440,172",94.0,136.0,43.8,19.58,5.74
Philippines,East and Southeast Asia,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,"116,434,200",26.0,165.0,42.3,26.61,4.85
Bulgaria,Europe,5.466,10.087,0.918,66.5,0.801,-0.057,0.911,"6,827,736",86.0,25.0,40.3,12.28,11.18
