Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature
Mauritania,Africa,4.724,8.591,0.644,60.475,0.622,-0.013,0.657,"4,244,878",170,183,32.6,28.9
Burkina Faso,Africa,4.638,7.667,0.663,55.461,0.696,0.095,0.771,"22,489,126",104,216,47.3,29.28
Namibia,Africa,4.631,9.121,0.787,56.851,0.669,-0.126,0.83,"2,777,232",207,180,59.1,20.24
Turkiye,n/a,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,n/a,n/a,n/a,n/a,n/a
Ghana,Africa,4.605,8.596,0.641,58.763,0.777,0.139,0.881,"33,846,114",53,189,43.5,27.73
Pakistan,South Asia,4.555,8.54,0.601,57.313,0.766,0.008,0.787,"247,653,551",108,178,29.6,22.23
Niger,Africa,4.501,7.091,0.59,56.55,0.788,0.032,0.734,"25,396,840",4,227,37.3,27.61
Tunisia,Africa,4.497,9.244,0.73,67,0.576,-0.213,0.907,"11,976,182",197,101,32.8,21.44
Kenya,Africa,4.487,8.458,0.69,58.499,0.696,0.288,0.852,"57,052,004",116,194,40.8,25.22
Sri Lanka,South Asia,4.442,9.491,0.826,67.15,0.787,-0.03,0.808,"23,326,272",133,104,39.3,27.24
Uganda,Africa,4.432,7.716,0.794,58.913,0.701,0.114,0.857,"47,729,952",40,226,42.7,23.14
Chad,Africa,4.397,7.261,0.722,53.125,0.677,0.221,0.807,"18,523,165",9,223,37.5,27.28
Cambodia,East and Southeast Asia,4.393,8.385,0.747,61.9,0.958,0.073,0.857,"16,891,245",3,152,37.9,27.25
Benin,Africa,4.374,8.103,0.437,56.095,0.743,-0.043,0.576,"14,219,908",13,221,37.8,28.09
Myanmar,n/a,4.372,8.404,0.787,61.388,0.727,0.491,0.658,n/a,n/a,n/a,n/a,23.96
Bangladesh,South Asia,4.282,8.685,0.544,64.548,0.845,0.005,0.698,"167,184,465",98,142,32.4,25.74
Gambia,n/a,4.279,7.648,0.584,57.9,0.596,0.364,0.883,n/a,n/a,n/a,n/a,28.46
Mali,Africa,4.198,7.655,0.593,55.403,0.713,-0.028,0.846,"21,359,722",48,224,36.1,29.19
Egypt,Africa,4.17,9.367,0.726,63.503,0.732,-0.183,0.58,"109,546,720",142,175,31.5,23.23
Togo,Africa,4.137,7.673,0.595,57.449,0.657,0.024,0.74,"8,703,961",23,196,42.4,27.47
Jordan,Middle East,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,"11,086,716",203,171,33.7,19.77
Ethiopia,Africa,4.091,7.739,0.782,60.698,0.72,0.273,0.789,"116,462,712",62,201,35,23.45
Liberia,Africa,4.042,7.277,0.596,56.7,0.735,0.154,0.83,"5,506,280",45,205,35.3,25.47
India,South Asia,4.036,8.759,0.608,60.777,0.897,0.072,0.774,"1,399,179,585",84,139,35.7,25.2
